1;Level 1;A102;Living Room;0b74b3fa-1a92-405e-9ac9-d59067be1d42
2;Level 1;A103;Kitchen;0b74b3fa-1a92-405e-9ac9-d59067be1d7f
3;Level 1;A104;Bathroom 1;0b74b3fa-1a92-405e-9ac9-d59067be1d78
4;Level 1;A101;Foyer;0b74b3fa-1a92-405e-9ac9-d59067be1d75
5;Level 1;B102;Living Room;0b74b3fa-1a92-405e-9ac9-d59067bfe323
6;Level 1;B103;Kitchen;0b74b3fa-1a92-405e-9ac9-d59067bfe0dc
7;Level 1;B104;Bathroom 1;0b74b3fa-1a92-405e-9ac9-d59067bfe0d9
8;Level 1;B101;Foyer;0b74b3fa-1a92-405e-9ac9-d59067bfe0da
9;Level 1;A105;Stair;40c2d70d-8d3b-49a9-9702-6756a4ee40fd
10;Level 1;B105;Room;40c2d70d-8d3b-49a9-9702-6756a4ee4132
